gbar,gobs,e_gbar,e_gobs
7.213824572845863037e-02,4.722787033946696522e-01,1.708538986015092909e-02,1.021402019944204903e-01
6.906704536119703808e-02,4.239193907414443574e-01,1.583204881949458118e-02,9.110224279766991617e-02
6.390266518921129679e-02,3.933179831022732831e-01,1.401098634120388937e-02,8.393947956509446862e-02
6.147973893794871081e-02,3.637496915133931474e-01,1.279425197804081107e-02,7.727417688986461253e-02
5.700737318070206450e-02,3.369280549692037496e-01,1.105754622253261009e-02,7.135023789707153896e-02
5.652775739365636931e-02,3.140581093599873475e-01,1.028584234767561216e-02,6.631838703285815317e-02
5.681288683391220312e-02,2.931851028956760086e-01,9.693744036207619166e-03,6.236038471498638047e-02
5.652643040659187379e-02,2.719027557273613338e-01,9.070190099993368296e-03,5.723974375745399107e-02
5.557469528940261333e-02,2.556637922443056321e-01,8.424022650293941719e-03,5.550100168037416792e-02
2.816216498909490662e-02,1.878373681399193307e-01,7.497919530184561643e-03,5.718306381032371016e-02
2.449390107221810844e-02,2.691446157163012720e-01,6.595981888361372204e-03,8.855087108607899438e-02
2.425184271745552470e-02,2.931336834567864202e-01,6.643396697656980994e-03,9.106811218703012023e-02
2.557552495840482304e-02,3.045857113605162092e-01,6.359901269049742824e-03,9.212404251545391887e-02
2.601598240813089713e-02,2.943398857213146980e-01,6.143500763277707187e-03,8.363000656335532745e-02
2.814658524272553586e-02,3.050947643318178137e-01,5.193594654363651100e-03,8.480084118786931913e-02
2.954119836682421799e-02,2.871692907414076790e-01,4.568613209990922235e-03,8.950132168082228223e-02
3.033553127747064954e-02,2.641895374253223627e-01,4.298849777610897101e-03,8.192760973853675799e-02
3.925278646535975552e-02,2.259440457127981361e-01,3.695425727710980029e-03,6.796395143316795451e-02
3.568622716927751654e-02,1.579929070483491460e-01,3.341805468858661306e-03,4.660640488668947590e-02
6.648258646990987120e-02,2.500856468190651993e-01,1.513915461469182190e-02,9.078830056674991322e-02
6.127839442515312790e-02,2.437542831149525913e-01,1.376768908709884859e-02,8.768200615395670139e-02
5.639630372529071123e-02,2.317831275165177507e-01,1.239908649213174521e-02,8.256741491264529831e-02
5.589553655194138410e-02,2.506790911982283432e-01,1.225829030674730272e-02,8.392638299610936936e-02
4.907986245855238544e-02,2.123038404699775228e-01,1.026761286733715757e-02,7.250456845923872184e-02
4.729445626323464102e-02,2.207007947514962598e-01,9.709349583071747933e-03,7.746505880624930673e-02
4.666764732314638425e-02,2.171341358088685614e-01,9.300270991537507720e-03,7.562646186268312531e-02
4.081113361169769888e-02,2.172082307773823828e-01,7.662501091979676861e-03,7.514817597846536190e-02
1.753225375962357696e-02,4.044873823333233059e-02,4.383063439905894240e-03,3.709657558860186746e-03
2.725649605035203316e-02,9.682680968549985112e-02,5.631093267955899866e-03,9.194431788314116547e-03
2.821916828457521342e-02,9.751441341959203590e-02,5.587524693803294293e-03,2.066452713209298089e-02
2.794158824408550165e-02,1.006570072115360731e-01,5.386334497926048917e-03,1.950708637776395887e-02
2.669665119857277114e-02,1.150942332136537377e-01,4.897695986411175484e-03,1.242766393758481733e-02
2.431993331363316302e-02,1.072960711213000462e-01,4.493197325825560966e-03,1.048428074645992372e-02
2.899268111987983454e-02,1.002827011643349225e-01,5.139781899046506897e-03,1.104830014932906695e-02
3.048273836301133854e-02,1.105941251645610746e-01,5.181069258024606841e-03,9.561994191085228245e-03
3.017163722825990171e-02,1.102469984282623688e-01,5.067461622441387162e-03,9.387704978870429345e-03
3.107497107630272787e-02,1.124778637874444542e-01,5.121976218665999676e-03,1.270900981713474903e-02
3.142042734345083105e-02,1.153657714748549667e-01,5.130347156674468917e-03,1.158487393284057636e-02
3.263901940634234694e-02,1.242988990050587911e-01,5.031551642683086863e-03,1.129170425752246652e-02
3.379401643055671839e-02,1.334769955054941892e-01,4.867047762032603031e-03,1.151128994183975122e-02
3.300592072079112926e-02,1.337881946812103651e-01,4.536726956180504172e-03,1.534733453247647678e-02
3.271066199276340819e-02,1.331001748251716965e-01,4.282705375924335429e-03,1.132992654986068014e-02
3.216486163865252268e-02,1.370340938612061299e-01,4.099772254150201543e-03,1.259814832004418558e-02
3.273650836061534758e-02,1.458958327071877559e-01,3.989009157205848990e-03,2.158903109388632738e-02
3.288505669500441098e-02,1.336735959595792278e-01,3.895224372403261522e-03,2.416575419870056404e-02
3.022737879663534022e-02,1.325158213390197903e-01,3.426498168822667695e-03,2.710236449119842600e-02
3.053370172544536340e-02,1.504993026827568248e-01,3.408877872373216027e-03,1.383851006535143091e-02
3.186439767223336883e-02,1.424682771174571871e-01,3.466178266629319198e-03,1.899716021010908890e-02
3.169692992490043965e-02,1.464991675465809884e-01,3.314964356732496946e-03,2.386097135128213004e-02
4.624781599210946226e+00,1.236879085368692843e+00,1.113500417215671057e+00,1.758148014838200879e-01
3.243881331990972949e+00,1.816072293373578672e+00,7.544431073176175451e-01,2.783855384711161340e-01
2.446217017394855642e+00,2.519731783579433948e+00,5.441606879633795746e-01,2.709358057137924436e-01
2.071694606537601846e+00,3.024508551489070385e+00,4.405837493200984167e-01,3.170734206500499530e-01
1.848183112670887418e+00,2.851337652742095496e+00,3.765150941367419457e-01,2.953416090959467555e-01
1.588466821663790940e+00,2.573826912920694987e+00,3.092295369723084275e-01,2.693839097152075368e-01
1.372057467168128930e+00,2.501654189552116492e+00,2.559377863657739116e-01,2.599002157218818776e-01
1.246047839306636984e+00,2.442531408864713871e+00,2.232131792049604213e-01,2.542288176864435645e-01
1.190292199679032104e+00,2.276997917888876621e+00,2.104271705305799933e-01,2.440386896627495250e-01
1.145316559769990139e+00,2.246279179479411248e+00,2.047245829303961373e-01,2.493215869570856169e-01
1.094152687162155191e+00,2.075333328833897095e+00,1.993787428543707385e-01,2.270681003882534799e-01
1.033831851171060245e+00,1.807778846502167580e+00,1.922207625953438470e-01,2.085063176129915152e-01
9.682116243643220654e-01,1.693910046844065986e+00,1.829288010625520211e-01,1.966730128703466363e-01
9.044633578805443275e-01,1.583281485684614909e+00,1.717659255775566829e-01,1.701860747677335362e-01
8.476024281000675842e-01,1.572726540295134479e+00,1.609604946075707255e-01,1.848814081819600830e-01
7.797899448959806357e-01,1.411002263877003005e+00,1.470978436903468689e-01,1.582359709859745278e-01
7.249523547104451682e-01,1.435497559802753287e+00,1.354686052379096839e-01,1.568696012995069167e-01
6.930474790093573700e-01,1.300843032205280192e+00,1.289852083378033587e-01,1.406896196522552656e-01
6.689192985537075753e-01,1.288004244790472486e+00,1.239682161350385836e-01,1.502585235901263694e-01
6.231610748717038017e-01,1.265529457233789623e+00,1.148154081945520072e-01,1.362948394778997763e-01
5.804466448977521065e-01,1.216292716839916466e+00,1.066014027965066086e-01,1.314407330545942498e-01
5.495360337399379791e-01,1.146894734355574652e+00,1.008201166664264847e-01,1.286656574502957062e-01
5.103060599483647541e-01,1.052727639827697237e+00,9.355464520107367732e-02,1.761378712755871656e-01
4.749056978088952996e-01,1.060143183727997762e+00,8.694240211053315404e-02,1.638808561618387283e-01
4.353987608450284874e-01,9.044450094728931910e-01,7.941678988579789489e-02,1.849806520791795195e-01
3.982036016511741883e-01,9.669468566985280900e-01,7.138061815882928984e-02,1.237238119529757013e-01
3.636624120817394945e-01,8.156278508456019649e-01,6.324144691025890275e-02,1.377820602005717099e-01
3.425063439459345438e-01,8.457729432300739036e-01,5.856251841705110289e-02,1.742940489536259074e-01
3.292560037840191467e-01,8.115554552794342902e-01,5.572548543113789443e-02,8.556203127343403603e-02
2.938282236880216391e-01,7.334027253695959425e-01,4.926691560012731036e-02,8.731137887712026036e-02
2.742114654255195516e-01,7.633849566226700301e-01,4.591183212292338639e-02,8.498027151656467604e-02
5.154582148997099988e-02,1.100105678757088146e-01,4.947000125741677495e-03,4.037026746685828948e-02
5.452866084668449992e-02,1.228936534201355152e-01,5.174269914037458139e-03,4.394581591731958059e-02
5.679707823856065818e-02,1.404256045231024042e-01,5.355220469378974869e-03,4.914211278112688708e-02
5.791661829490642871e-02,1.574247121314291120e-01,5.440814171254017458e-03,5.417450608567550563e-02
5.761388989627184987e-02,1.671927475395401375e-01,5.394339406433224481e-03,5.695676790183517441e-02
5.286835415965630836e-02,1.460840547971077319e-01,4.956868423536655091e-03,4.963130291440455422e-02
4.765301109553682357e-02,1.390584708253177482e-01,4.505136784303410274e-03,4.702616867514151228e-02
3.940801595671059726e-02,1.211036769948163061e-01,3.724749578481010345e-03,4.101056383061330024e-02
3.845121332313662932e-01,1.970447821922687082e+00,9.223880420335701935e-02,3.785878797065997392e-01
3.967880532741855926e-01,1.847428950583341001e+00,9.481673748889220266e-02,3.408537484900360792e-01
4.046445055456761586e-01,1.794962393211287477e+00,9.639814866283362427e-02,3.020187106837053936e-01
4.138637446771091244e-01,1.735801898006466004e+00,9.828093116134963003e-02,2.726243537832668817e-01
4.218791176434606993e-01,1.720750474331893543e+00,9.983394364860956327e-02,2.877472562766595354e-01
4.329304720655070549e-01,1.695715866863974908e+00,1.021457750513366930e-01,3.131129494610166430e-01
4.360655135642370617e-01,1.725154460321668415e+00,1.026676376881730662e-01,3.421992395667072806e-01
4.371449916682482728e-01,1.627587988212910508e+00,1.025503983971219474e-01,3.216278744979942372e-01
4.303711778093304297e-01,1.628313350871868792e+00,1.005546360183899035e-01,3.355881439038824188e-01
4.224666394654023049e-01,1.580049578676144151e+00,9.820362942296034792e-02,3.007132078181739554e-01
4.082978333390974712e-01,1.636593541960401410e+00,9.439796438834299752e-02,3.097522750630922195e-01
3.946678989461834264e-01,1.518451161130500715e+00,9.060605261628260076e-02,3.096848567488643122e-01
3.813652209598720755e-01,1.541768049252577377e+00,8.697942772890829288e-02,2.682375019350659584e-01
3.703377544658784659e-01,1.497960205622721697e+00,8.383928463330932168e-02,2.674864466065933755e-01
3.595973549192522656e-01,1.520642709130387571e+00,8.085396443194776961e-02,2.829041124352540404e-01
3.480186183390864829e-01,1.460774885936277689e+00,7.755214253226186405e-02,2.806230835829772174e-01
9.422941434812889816e-02,4.957888092160069315e-01,1.593831811794812342e-02,4.602462792794342894e-02
6.590369559873923699e-02,4.288974807278702617e-01,1.088020042321076464e-02,3.678414577944019714e-02
4.707613390328552194e-02,3.885337916901925315e-01,7.778128461116447581e-03,4.479098952793231225e-02
3.517041060108501427e-02,3.479452477482646300e-01,5.891318478075603833e-03,3.050871966409538991e-02
1.550256627772891582e-01,2.490045723075696715e-01,2.422828137969814527e-02,3.729139336759570988e-02
1.500737307562326206e-01,2.447196755599341522e-01,2.268401321538511539e-02,1.958228172999966488e-02
1.452382791168559395e-01,2.649637924504806841e-01,2.084147461860073880e-02,3.330152595088840817e-02
1.420187070281630770e-01,2.972719288730601983e-01,1.879480943111863298e-02,4.911556892464032792e-02
1.387655417097183042e-01,3.145183838621905537e-01,1.698311574394535672e-02,4.382405992877461826e-02
1.317477866388194196e-01,3.097056339764753252e-01,1.537692074008074547e-02,3.021308614636112819e-02
1.243229483555731291e-01,3.068929923932481874e-01,1.401429588589931177e-02,1.889837306368201755e-02
1.167522382048899049e-01,2.905955064456047232e-01,1.283333164764656302e-02,2.514468929041933226e-02
1.097627291936938559e-01,2.988819503732251803e-01,1.189618712473903758e-02,2.613457060576849719e-02
1.037115881653648680e-01,2.985632781402006719e-01,1.123436873486619719e-02,2.392007582750629163e-02
