gbar,gobs,e_gbar,e_gobs
4.226051152277875839e-02,6.222296238740535751e-02,7.113972131656104946e-03,1.312583832265921957e-02
2.876909480542320235e-02,7.314565594196822951e-02,5.104815534333733036e-03,1.366242114511269194e-02
4.450292135404072119e-02,1.894252374654559201e-01,9.505403815089654568e-03,7.847145960429147138e-02
2.094010475478966932e-02,7.244412609248516988e-02,3.112246342692433828e-03,1.642302221090426867e-02
1.726501867565555237e-02,8.304020348025055454e-02,2.347573225658634508e-03,1.848888605385996114e-02
1.355739506653187015e-02,7.619167430204115687e-02,1.694220994288117739e-03,1.600766383647813165e-02
1.051695543438793158e-02,7.291753404774065084e-02,1.229446598275858249e-03,1.482242183177934040e-02
8.320764167375975517e-03,6.597677709712328198e-02,9.327677569618547790e-04,1.374647794219054607e-02
1.186794501447939743e-01,1.622790222757948264e-01,1.456264292864467395e-02,3.129096775388346546e-02
1.042048905331335318e-01,1.719071374916623651e-01,1.205984186299091307e-02,2.726201941415537164e-02
8.561608839392884085e-02,1.734306638450253124e-01,9.141921026675312034e-03,2.159656965500850873e-02
7.237429992502332488e-02,1.813679842326818281e-01,7.367350301371080809e-03,2.084352300283633108e-02
5.990463892662607065e-02,1.864222163817856603e-01,5.898154249294696935e-03,1.860622231195448520e-02
5.036688279103531535e-02,1.877088252522562672e-01,4.871970682031608046e-03,1.816614267726921611e-02
4.279295437632536780e-02,1.910327087817947911e-01,4.088020561655903579e-03,1.922496645998731865e-02
3.616031579159048603e-02,1.936701252741990786e-01,3.429041416086712687e-03,1.930995516421656760e-02
3.094118283415743867e-02,1.970078915400153008e-01,2.918331672879598097e-03,2.055986704596934542e-02
2.645332092505617988e-02,1.926165288591878688e-01,2.487527161794793069e-03,2.263435696240470932e-02
2.278333045615911837e-02,1.892615105950246623e-01,2.138244097652122581e-03,2.470841141070960478e-02
1.971697076218542621e-02,1.763236395653633437e-01,1.848343908195994008e-03,2.658885313262114233e-02
1.716260936495858300e-02,1.600815146256528154e-01,1.608043591863854557e-03,2.500800936871149308e-02
1.499340904807914751e-02,1.479891270985049523e-01,1.404757496107998617e-03,2.264526873034182833e-02
8.975776096422163897e-02,3.695333062950382219e-01,1.000022831280744824e-02,1.382574750831517263e-01
8.851917529743488777e-02,3.354455856910763534e-01,9.305909244598025223e-03,1.254269709675628897e-01
8.323025767588645984e-02,3.060452052135118062e-01,8.559439305153621405e-03,1.145039881745926053e-01
5.286819108274817131e-02,1.527290894963586332e-01,8.852126894692578796e-03,1.568460709916957158e-02
4.423404250914744762e-02,1.828872480841245152e-01,5.269213390944773971e-03,1.573907636177782413e-02
4.014095032471046154e-02,1.935403262985367079e-01,4.002250205710800555e-03,1.487795982854204016e-02
3.542146836003221000e-02,1.914605171098967273e-01,3.328887179568666352e-03,1.419651583212423566e-02
3.332668522205272515e-02,1.931329280183401442e-01,3.094305188858116097e-03,1.386006038764277075e-02
3.229431411964384102e-02,1.863129634250530464e-01,3.015053795572726798e-03,1.335729591087556067e-02
2.879408196774627116e-02,1.758791432492840257e-01,2.703596631501915381e-03,1.260215194089495117e-02
2.424179184774178514e-02,1.639921909880898421e-01,2.282328718691411639e-03,1.184796845702941297e-02
2.036055343114181668e-02,1.524110947378074787e-01,1.920214632710411139e-03,1.148581580400621742e-02
1.709852163552306667e-02,1.340930622444049813e-01,1.613881578090401890e-03,1.032759250720790591e-02
1.446325856984147576e-02,1.133314751218731931e-01,1.365649641213018909e-03,1.034035665096394094e-02
1.017321023969288279e-01,1.757617708860417793e-01,1.411453453957080967e-02,6.625475201936420477e-02
1.061581109748663265e-01,1.736560352664795470e-01,1.366907856568958142e-02,6.311457944820055010e-02
1.037598158098544804e-01,1.612632599491523322e-01,1.243042013198209818e-02,5.879333248863097272e-02
9.637140960559235914e-02,1.547866260290298168e-01,1.099688150137552098e-02,5.633499182598594723e-02
8.751359769599943716e-02,1.557425933565711740e-01,9.504378143126190545e-03,5.806595196798784025e-02
8.053207322474463525e-02,1.515097557309459941e-01,8.483087824310904523e-03,5.448329425691727373e-02
7.371161396568930158e-02,1.535291379225375841e-01,7.574522420366686104e-03,5.393552363750183515e-02
6.762768869661162086e-02,1.594523425608577183e-01,6.769951443536435624e-03,5.349805461801771661e-02
6.255882303746802819e-02,1.609617392244029888e-01,6.106060025258394294e-03,5.330532568861073850e-02
5.798953686190477796e-02,1.566841485103106224e-01,5.550062922384607633e-03,5.221792716397636452e-02
5.456740570483246261e-02,1.561044164857859073e-01,5.163535212828279652e-03,5.154708530199454686e-02
5.168879489851158082e-02,1.592907837117577552e-01,4.849152965786337859e-03,5.218401964210773319e-02
4.963878299248405956e-02,1.599782418739378320e-01,4.628501480336154675e-03,5.250867387715057316e-02
4.833933747639469064e-02,1.542530871251222291e-01,4.492161506368175412e-03,5.066375876841689579e-02
4.729811732179693001e-02,1.516827683749961964e-01,4.391538190747489370e-03,4.984670934220034738e-02
4.568486244341737890e-02,1.484010601243938021e-01,4.244581864983027787e-03,4.876599176128473129e-02
4.438603689187291257e-02,1.411926784415088176e-01,4.130245795613027120e-03,4.694392484236637603e-02
4.226413260910515113e-02,1.407354075723094844e-01,3.938719461825197256e-03,4.701232675887110496e-02
4.004715133423803614e-02,1.387685569130724939e-01,3.737520954266428282e-03,4.544024478504899572e-02
3.685605668323804762e-02,1.403593217173715324e-01,3.441237783496509193e-03,4.764866542698134588e-02
3.370704757258261020e-02,1.315844857463109030e-01,3.147716050163228661e-03,4.387442826047124877e-02
3.059398727856468131e-02,1.261879143413574822e-01,2.856502411585264481e-03,4.126761667514036724e-02
2.776051676390787690e-02,1.203908793302797403e-01,2.591177793452641761e-03,3.937586063103109407e-02
2.522086735569530405e-02,1.165280820589811861e-01,2.353138958831694442e-03,3.812092342411046303e-02
2.309157995134270350e-02,1.104299311759907309e-01,2.154053839253611876e-03,3.606173934430296352e-02
2.098483731874714944e-02,1.059060978764161665e-01,1.956386092612416930e-03,3.475796836819698699e-02
1.608628778414872840e-01,2.164050132421727335e-01,1.515246862463438815e-02,3.501165716319543791e-02
1.353193012054641764e-01,2.228401657005935343e-01,1.291907129330649613e-02,3.479805551960332005e-02
1.058944492991327063e-01,2.589540740312230027e-01,1.024216242671150204e-02,3.427888704461255071e-02
9.858199678838558411e-02,3.045703256017819327e-01,9.457662882962541984e-03,3.892018212438619340e-02
8.621881406626465127e-02,3.561458994053580129e-01,8.232449827768332368e-03,4.498105891653778748e-02
7.524804123301380432e-02,3.138072379154754343e-01,7.159359722083149039e-03,4.205541507564171388e-02
6.529243703125622855e-02,2.949148436992957145e-01,6.240756764785031392e-03,4.199442730548476332e-02
5.803182238549223909e-02,2.642414381484462504e-01,5.544544767496870086e-03,3.927700365540300748e-02
5.121501444900156824e-02,2.126958058954592501e-01,4.846394129307991794e-03,3.336924453457538325e-02
4.071577657461265126e-02,1.733971243514103588e-01,5.187895236128750760e-03,5.667764788262200093e-02
4.152664566664571177e-02,1.837941959022269534e-01,4.356098011731313925e-03,5.906817416792875530e-02
4.028755892339038608e-02,1.577703223473830851e-01,3.879490443500916309e-03,5.066593626392488364e-02
3.718827882742063023e-02,1.417669611994788470e-01,3.498688446167094821e-03,4.555215172911317861e-02
3.169003489752791891e-02,1.207832196146491621e-01,2.952035249045742785e-03,3.885578289472590985e-02
2.529885027916186843e-02,1.077267354352585971e-01,2.350991719190215386e-03,3.469286254855749596e-02
1.925701149546521149e-02,1.016874010724559824e-01,1.789850203236257632e-03,3.261442351736838774e-02
3.519941344364090341e-01,5.505421402560979338e-01,8.580129655335404226e-02,1.617609918407249270e-01
3.340620804665564991e-01,6.438049191004281413e-01,8.148751866704602442e-02,1.808474419726544269e-01
2.849156250032568449e-01,7.680425454140156205e-01,6.963903859869713386e-02,2.097308914458757834e-01
2.491348477695754515e-01,7.718217015900871170e-01,6.099174804973950953e-02,2.126260732319819324e-01
2.418166481862890071e-01,8.906520247093118181e-01,5.912181645734493340e-02,2.559357052249577325e-01
2.443066571932666631e-01,8.828183819010123612e-01,5.942355384601066826e-02,2.326321541360068801e-01
2.631960023500324319e-01,9.215626098993965343e-01,6.292558430672681724e-02,2.377186541624572158e-01
2.863606841995100516e-01,8.576122010245339489e-01,6.687937942173989569e-02,2.189576022507765118e-01
2.738577157934645734e-01,8.039358069545847751e-01,6.194442209262041726e-02,2.039649770918139093e-01
2.462994699029796841e-01,7.428807319401389275e-01,5.372205147801933228e-02,1.882064567459561244e-01
2.111315298279635155e-01,6.741724728291772495e-01,4.454872609798272293e-02,1.708183375915527935e-01
1.818877471998476547e-01,6.159619139555062572e-01,3.763912056749278007e-02,1.559297940784230840e-01
2.373424930671318711e-01,6.247285380261583532e-01,5.965202623525471537e-02,2.145666749343573820e-01
3.089297047581089362e-01,6.228519474335594275e-01,7.737349698191142711e-02,2.009752359702760560e-01
3.381615763609995828e-01,8.076389865442499261e-01,8.344231090279535801e-02,2.569616183578651292e-01
2.402495678838488802e-01,7.777918668265835223e-01,5.534117429173961850e-02,2.412916847133884657e-01
2.309636197709561412e-01,7.049345145643012289e-01,5.075339134783896783e-02,2.188367165153835003e-01
2.227371667009160616e-01,7.356886023351009163e-01,4.684745221028078360e-02,2.264397117203314769e-01
2.116242452207159619e-01,8.163938920986750780e-01,4.331825258241298743e-02,2.608793648402003007e-01
1.696800219121225584e-01,6.831661889750080263e-01,3.249973426067454679e-02,2.131349181937245429e-01
1.365735342193410695e-01,6.364247728346791311e-01,2.450378035621065403e-02,1.934421432425028897e-01
1.127986401445756626e-01,5.550726820902902592e-01,1.888623117542599650e-02,1.687402884860437491e-01
1.020033588581304440e-01,5.093081846097630150e-01,1.592145370340483299e-02,1.548048897641722821e-01
9.559383933655281329e-02,4.713152574666997774e-01,1.351037002978050169e-02,1.432360538444990561e-01
8.784555815676980961e-02,4.392699850884794754e-01,1.163642921948680395e-02,1.337172482118882122e-01
7.270669933333785695e-02,4.122954911403466371e-01,9.583187188108962390e-03,1.291124171824068190e-01
6.929801983843243696e-02,4.174248372179122923e-01,1.107523542648701856e-02,1.674474977518196905e-01
1.021790563668104890e-01,5.244548917838334212e-01,1.280474733610497198e-02,2.038690875286720550e-01
9.453737563375504138e-02,5.740048182382075925e-01,9.502131562952495850e-03,2.294197660786603532e-01
8.154565233617863673e-02,4.991587921906772141e-01,7.712589596081248326e-03,1.761225634810079377e-01
6.691193698633396414e-02,4.699129971965509411e-01,6.222518901190653151e-03,1.718353052085150878e-01
3.366132920781617077e-02,3.806347856307108479e-01,3.125512071704438823e-03,1.340613911428714666e-01
1.373389248450271438e+00,7.979597909809164058e-01,3.433473121125678595e-01,1.714266054395562344e-01
1.109789931537957575e+00,1.470919087820591775e+00,2.774474828844893937e-01,2.448845027859809509e-01
1.006976379853252279e+00,1.606731498368669575e+00,2.517440949633130698e-01,2.561272927460577775e-01
1.021907794199209407e+00,2.514910868177177683e+00,2.554769485498023518e-01,3.955289400596161964e-01
1.110391065850027781e+00,2.884181624982558922e+00,2.775977664625069452e-01,4.462200655839175800e-01
1.149709734117696724e+00,2.931524657321424421e+00,2.874274335294242366e-01,4.518262129251435777e-01
1.117616140336451513e+00,3.070788018437364819e+00,2.794040350841128784e-01,4.785740324019285286e-01
1.118162551034201480e+00,3.064353868214352072e+00,2.795406377585503699e-01,4.647761642990616560e-01
1.078512397567696013e+00,2.682623960333105906e+00,2.696280993919240032e-01,4.417180395467529275e-01
1.016398203079713181e+00,2.582412022107195781e+00,2.540995400210749322e-01,3.958924991688752004e-01
9.316420669882420347e-01,2.317253644837260929e+00,2.329095522297339182e-01,4.628055484425956934e-01
8.505914856713900907e-01,2.051639590685954140e+00,2.125962499875368727e-01,3.747033651698546963e-01
7.773321432394271202e-01,1.898561348642249680e+00,1.932242456014594545e-01,3.286242452654059565e-01
6.764899522559815193e-01,1.754648007405031684e+00,1.668338123689545316e-01,2.987385834949387586e-01
6.088300655349841994e-01,1.624556361736647414e+00,1.478556770857719638e-01,2.660420337169234206e-01
5.671334866997553847e-01,1.493712693820262505e+00,1.376195398768009226e-01,2.462610550993894754e-01
5.253457427773404742e-01,1.375264654452592383e+00,1.259705122185430237e-01,2.217953407853927861e-01
4.622760912318200077e-01,1.281631917254521191e+00,1.091485780663066230e-01,2.012100580292905394e-01
4.088660394807275833e-01,1.165818253156486461e+00,9.583529312274939593e-02,1.860174738871651634e-01
3.555413600510466399e-01,1.095383400361615189e+00,8.365923282081320911e-02,1.747316327986393469e-01
3.118187780908049933e-01,1.026699684919245126e+00,7.259375267891264583e-02,1.719104033606053406e-01
2.820342676066487919e-01,9.678026409761586457e-01,6.364789135278901833e-02,1.712711342967042361e-01
2.574414673306382739e-01,9.362899037482362852e-01,5.594864573258441498e-02,1.697986767677346909e-01
2.326690270344139722e-01,9.308718075722166585e-01,4.967439906839923175e-02,1.489755896384527545e-01
2.132502293848300978e-01,8.952631070376223521e-01,4.473684384384944701e-02,1.414890334695521057e-01
1.936594220471310190e-01,8.502582613361394648e-01,4.032092456951084231e-02,1.346169935328444534e-01
1.765797437205565423e-01,7.889262147952312842e-01,3.653662887248557145e-02,1.283167931952135243e-01
1.630248778498582796e-01,7.438585694509435298e-01,3.349367939661428845e-02,1.198215784355951413e-01
3.454774027277472681e-02,2.783386315558431523e-01,3.587454727567947633e-03,9.529036435431999241e-02
3.531390371475789935e-02,2.648606390720246728e-01,3.466447026297473418e-03,8.255539632085329149e-02
3.349136587957507460e-02,2.543131577249587161e-01,3.147377968276902915e-03,8.113257125034666062e-02
6.963340033154799547e-02,1.878373681399193307e-01,1.729318379756761975e-02,8.328789785858510542e-02
8.080950826757729577e-02,4.116858088360839663e-01,2.000751257138456279e-02,1.914710800613170227e-01
7.925340198770020050e-02,4.771899557393442515e-01,1.898738780613661720e-02,2.164556641468692311e-01
7.521977672055478459e-02,4.630714220823958782e-01,1.755794352001020797e-02,2.094970146616774997e-01
7.495799542897162160e-02,4.395344492042846385e-01,1.726161505259416612e-02,1.996114682450536026e-01
7.158808321212609127e-02,3.029268253212431539e-01,1.114512971716059148e-02,1.352123046474974777e-01
5.968851001825437735e-02,2.646482318315367954e-01,7.881312403795959903e-03,1.249903089251191840e-01
5.511119117028900199e-02,2.783125954494694021e-01,6.879142022667187988e-03,1.314438303337100988e-01
8.131071478797743945e-02,8.585746899495724227e-01,2.032770530923585020e-02,3.880133226651765743e-01
7.927199532521601866e-02,7.974557141288598494e-01,1.948003271404001938e-02,3.573081825658449007e-01
7.173758795552530321e-02,7.426414469616652303e-01,1.638001196985407540e-02,3.289816465964088832e-01
6.390045489527343414e-02,6.925440447434101365e-01,1.396139307424876762e-02,3.060653361245527226e-01
1.321460651037753120e+00,7.778479467465333475e-01,3.294388251229184439e-01,1.914556517348274256e-01
9.149174551703994629e-01,6.641246938416641710e-01,2.277381558814725593e-01,1.542394218788898097e-01
5.472639267352642500e-01,6.886891515148528820e-01,1.356328853399424161e-01,1.839104557515174043e-01
4.655395826903124257e-01,6.504201169607527477e-01,1.152467202987626227e-01,1.813462742754375079e-01
2.925300535362336252e-01,7.490480436770006190e-01,7.192993546957045237e-02,1.612436210247596702e-01
2.272713270979339617e-01,7.472855776918778670e-01,5.562954426908561095e-02,1.750121865165935597e-01
1.805453896073603848e-01,7.137140121086730238e-01,4.395473559171460959e-02,1.518889325357368203e-01
1.353374276404426535e-01,6.901692850218901221e-01,3.260795478680770382e-02,1.459120443703565695e-01
8.579345410253169657e-02,6.330461155270089568e-01,2.034825605149668745e-02,1.328576235612231871e-01
6.430841262003368641e-02,5.722457126469336908e-01,1.506626869353146388e-02,1.197610877587985123e-01
3.466864494966475502e-02,4.321594815331046835e-01,8.008608024487806273e-03,9.203723110767718374e-02
5.479627749700462930e-02,2.794302186594421755e-01,8.034804483112938100e-03,1.799033468654496759e-01
4.957769985649863875e-02,2.469740413419334035e-01,6.171931243376832001e-03,1.561616983419317484e-01
4.605408935422680011e-02,2.269295684098924792e-01,5.154016058204788191e-03,1.429247344644429540e-01
3.813555901427488626e-02,1.975177154697649873e-01,3.948760963613241227e-03,1.242603270185878850e-01
2.820332175336803804e-02,1.678625900888550959e-01,2.889177140211138858e-03,1.056298328557637167e-01
1.171331890479461457e-01,5.081114421249361968e-01,2.916148469447567629e-02,1.218541754113771636e-01
8.981396730657575933e-02,5.526080313180218306e-01,2.216743436536857542e-02,1.239353914469955159e-01
7.785805983924166951e-02,5.290456998998266380e-01,1.889979288890193676e-02,1.289332200593841515e-01
