 TOT   INH   IND
  .1    .1     -              Algorithm.SRTree.AD reverseModeUniqueArr.reverse.\.\.(...) (1221947)
   -     -     -                Algorithm.SRTree.AD reverseModeUniqueArr.diff (1221947)
   -     -     -                  Algorithm.SRTree.AD reverseModeUniqueArr.diff.dxl (77235)
   -     -     -                  Algorithm.SRTree.AD reverseModeUniqueArr.diff.dxr (77235)
   -     -     -              Data.Massiv.Core.Index.Ix toLinearIndex (4887788)
   -     -     -              Algorithm.SRTree.AD reverseModeUniqueArr.reverse.\.\.op (64313)
  .4    .3    .3            Algorithm.SRTree.AD reverseModeUniqueArr.reverse.\.\ (469091)
  .1     -     -              Data.Massiv.Array.Manifest.Storable unsafeLinearRead (938182)
   -     -     -              Data.Massiv.Array.Manifest.Storable unsafeLinearWrite (469091)
   -     -     -              Algorithm.SRTree.AD reverseModeUniqueArr.reverse.\.\.val (469091)
   -     -     -          Algorithm.SRTree.AD reverseModeUniqueArr.reverse.\ (140771)
   -     -     -            Data.Massiv.Array.Manifest.Storable unsafeLinearWrite (140771)
 9.2   8.9   4.4        Algorithm.SRTree.AD reverseModeUniqueArr.combine (7409)
 4.8   4.4   4.3          Algorithm.SRTree.AD reverseModeUniqueArr.combine.\ (345814545)
  .4    .1     -            Data.Massiv.Array.Delayed.Pull unsafeDotProduct (32324)
  .4    .1    .1              Data.Massiv.Array.Delayed.Pull unsafeLinearIndex (1228312)
  .3     -     -                Algorithm.SRTree.AD reverseModeUniqueArr.err (0)
  .3     -     -                  Data.SRTree.Eval - (0)
   -     -     -                  Data.Massiv.Array.Delayed.Pull makeArrayLinear (0)
  .1     -     -                Data.Massiv.Array.Manifest.Storable unsafeIndex (0)
   -     -     -            Control.Scheduler.Computation <> (32324)
   -     -     -            Data.Massiv.Array.Manifest.Storable unsafeIndex (32324)
   -     -     -            Data.Massiv.Array.Manifest.Storable unsafeLinearWrite (32324)
   -     -     -            Data.Massiv.Array.Delayed.Pull dComp (64648)
   -     -     -        Algorithm.SRTree.AD reverseModeUniqueArr.err (7409)
   -     -     -          Data.SRTree.Eval - (0)
   -     -     -          Data.Massiv.Array.Delayed.Pull dPrefIndex (7409)
   -     -     -        Algorithm.SRTree.AD reverseModeUniqueArr.n (7409)
   -     -     -        Algorithm.SRTree.AD reverseModeUniqueArr.(...) (7409)
   -     -     -        Algorithm.SRTree.AD partial' (7409)
   -     -     -        Algorithm.SRTree.AD reverseModeUniqueArr.v (7409)
   -     -     -        Data.Massiv.Core.Index.Internal liftIndex (7409)
  .2     -     -    Data.Massiv.Core.Index.Internal iterM (7409)
   -     -     -    Data.SRTree.Eval * (0)
   -     -     -    Data.Massiv.Array.Delayed.Pull divideScalar (7409)
   -     -     -      Data.Massiv.Core.Operations divideScalar (7409)
   -     -     -        Data.Massiv.Array.Delayed.Pull unsafeLiftArray (7409)
   -     -     -    Data.SRTree.Eval - (0)
   -     -     -    Algorithm.SRTree.Likelihoods gradNLLArr.yhat (7409)
   -     -     -    Algorithm.SRTree.Likelihoods gradNLLArr.ys' (7409)
   -     -     -    Data.Massiv.Array.Manifest.Storable unsafePrefIndex (0)


31.8  31.8     -  Data.Vector.Storable.Mutable basicSet (22227)
31.8  31.8  31.8    Data.Primitive.Types setOffAddr# (22227)
   -     -     -    Control.Monad.Primitive primitive (22227)


33.3   1.5   1.2  Control.Monad.Primitive primitive (13800528)
31.8     -     -    Data.Vector.Storable.Mutable basicSet (0)
  .2    .2    .1    Data.Massiv.Array.Manifest.Storable unsafeLinearWrite.\ (0)
  .1    .1    .1      Data.Massiv.Array.Manifest.Storable unsafeLinearWrite.\.\ (5966741)
  .1    .1    .1    Data.Massiv.Array.Manifest.Storable unsafeLinearRead.\ (0)
   -     -     -    Data.Massiv.Core.Index.Iterator iterTargetFullST_.\ (32191)
   -     -     -      Data.Massiv.Array.Delayed.Pull iterArrayLinearST_.\ (32191)
   -     -     -        Algorithm.SRTree.Likelihoods gradNLLArr (0)
   -     -     -    Data.Vector.Storable basicUnsafeCopy (0)


99.9   1.4     -  MAIN MAIN (0)
99.9   1.4     -    Main main (0)
99.9   1.4     -      Main main.alg (1)
99.9   1.4     -        Main egraphSearch (1)
99.9   1.4     -          Main while (2996)
99.8   1.3     -            Main egraphSearch.\ (2995)
