 TOT   INH   IND
  .6     -     -      Data.Massiv.Core.Operations multiplicationPointwise (8134)
  .6     -     -        Data.Massiv.Array.Delayed.Pull unsafeLiftArray2 (8134)
   -     -     -    Data.Massiv.Core.Index.Internal == (5966)


  .1     -     -  System.Random randomR (30699)
  .1     -     -    System.Random randomR (25029)
  .1     -     -      System.Random.Internal uniformRM (25029)
   -     -     -        System.Random.Internal uniformM (0)
   -     -     -    System.Random.Internal uniformRM (10409)
   -     -     -      System.Random.Internal uniformWord64 (10409)


   -     -     -  Data.SRTree.Internal childrenOf (0)


   -     -     -  Data.SRTree.Internal compare (118461)
   -     -     -    Data.SRTree.Internal compare (50113)


  .1     -     -  Data.Massiv.Array.Delayed.Pull makeArrayLinear (5966)
  .1     -     -    Data.Massiv.Array.Manifest.Storable unsafePrefIndex (0)


   -     -     -  Data.HashSet.Internal insert (7900)
   -     -     -    Data.HashMap.Internal insert (7900)
   -     -     -      Data.HashMap.Internal hash (7900)
   -     -     -        Data.Hashable.Class hash (5990)
   -     -     -      Data.HashMap.Internal insert' (2995)
   -     -     -        Data.HashMap.Internal insert'.go (8148)


   -     -     -  Control.Scheduler.Computation <> (39733)
   -     -     -    Control.Scheduler.Computation joinComp (32324)


   -     -     -  System.Random.SplitMix shiftXorMultiply (41165)
   -     -     -    System.Random.SplitMix mult (0)
   -     -     -    System.Random.SplitMix shiftXor (6891)


  .8     -     -  Data.Massiv.Array.Manifest.Storable unsafeNew (24712)
  .8     -     -    Control.Monad.Primitive primitive (24712)
   -     -     -    Data.Massiv.Array.Manifest.Storable unsafeNew.n (2485)


   -     -     -  Data.Hashable.Class hash (5990)
   -     -     -    Data.Hashable.Class hash (5990)
   -     -     -      Data.Hashable.Class defaultHash (5990)
   -     -     -        Data.Hashable.Class hashWithSalt (5990)


   -     -     -  Algorithm.EqSat.Egraph _canonicalMap (235954)


   -     -     -  Data.Hashable.LowLevel hashInt (3020)


   -     -     -  Data.Massiv.Core.Index.Internal == (27455)


   -     -     -  Data.Massiv.Core.Index.Internal liftIndex (28174)


  .1     -     -  Data.SRTree.Recursion cataM (5477)
  .1     -     -    Algorithm.EqSat.Build add (0)
  .1     -     -    Data.SRTree.Recursion cata (40648)


   -     -     -  System.Random.Internal genWord64 (0)
   -     -     -    System.Random.Internal genWord64 (0)
   -     -     -      System.Random.SplitMix nextWord64 (41165)


   -     -     -  System.Random random (36488)
   -     -     -    System.Random random (34831)
   -     -     -      System.Random.Internal uniformM (34831)


   -     -     -  Data.Vector.Storable basicUnsafeCopy (9894)
   -     -     -    Control.Monad.Primitive primitive (9894)
   -     -     -    Data.Vector.Storable basicUnsafeCopy.\ (7409)
   -     -     -      Data.Vector.Storable basicUnsafeCopy.\.\ (7409)


   -     -     -  Numeric.Optimization.NLOPT.Bindings setScalar (4970)
   -     -     -    Numeric.Optimization.NLOPT.Bindings withOpt (4970)


97.1     -     -  Algorithm.SRTree.NonlinearOpt applyLocalProblem (2486)
97.1     -     -    Algorithm.SRTree.NonlinearOpt applyLocalAlgorithm (2486)
97.1     -     -      Algorithm.SRTree.NonlinearOpt applyLocalObjective (2486)
97.1     -     -        Algorithm.SRTree.NonlinearOpt applyLocalObjective.go (2486)
97.1     -     -          Algorithm.SRTree.NonlinearOpt applyLocalObjective.objD (0)
97.1     -     -            Algorithm.SRTree.NonlinearOpt tryTo (2486)
   -     -     -    Algorithm.SRTree.NonlinearOpt tryTo (4970)


  .1     -     -  Data.Massiv.Array.Manifest.Storable unsafePrefIndex (0)
  .1     -     -    Data.Massiv.Core.Common unsafePrefIndex (0)
  .1     -     -      Data.Massiv.Array.Manifest.Storable unsafeLinearIndex (0)


  .1     -     -  Data.SRTree.Internal relabelParams (5477)
  .1     -     -    Data.SRTree.Recursion cataM (5477)


   -     -     -  System.Random.Internal uniformWord64 (10409)
   -     -     -    System.Random.Internal genWord64 (0)
