id,Expression,theta,size,MSE_train,MSE_val,MSE_test,R2_train,R2_val,R2_test,nll_train,nll_val,nll_test,mdl_train,mdl_val,mdl_test
0,x0,-0.4957513476593316;-0.4929775420435486;0.7375893766210154,1,1.9033658299301064,1.9033658299301064,1.9033658299301064,0.9030561247917226,0.9030561247917226,0.9030561247917226,2584.111013417523,2584.111013417523,2584.111013417523,2594.515843860559,2594.515843860559,2594.515843860559
1,Recip((Abs(x0) ^ -0.5022182121689301)),-0.5022182121689301;0.22817146424000687;-0.49154532492779285;0.7496127460267673,5,14.816777221060677,14.816777221060677,14.816777221060677,0.24533908336470467,0.24533908336470467,0.24533908336470467,752.2151864165293,752.2151864165293,752.2151864165293,8527.981704651795,8527.981704651795,8527.981704651795
2,(-3.6780333741685094e-2 - (0.22136387898734947 + x0)),-3.6780333741685094e-2;0.22136387898734947;-0.14184507677771155;-0.4913771283242129;-0.7463075178176702,5,83.97613886188671,83.97613886188671,83.97613886188671,-3.2771453591759947,-3.2771453591759947,-3.2771453591759947,-244.02211968544188,-244.02211968544188,-244.02211968544188,53828.4855799718,53828.4855799718,53828.4855799718
3,((Abs((x0 * x0)) ^ 0.2628017788982783) + x0),0.2628017788982783;-8.954690184305161e-2;-0.5132598171661228;-0.730488942590611,8,2.061298882722135,2.061298882722135,2.061298882722135,0.8950121419060495,0.8950121419060495,0.8950121419060495,-843.5644732908106,-843.5644732908106,-843.5644732908106,888.5721046283129,888.5721046283129,888.5721046283129
